,support,precision,recall,f1-score
LOC,1668,0.9216 ± 0.0082,0.9183 ± 0.0129,0.9198 ± 0.0039
MISC,702,0.7839 ± 0.0130,0.8167 ± 0.0158,0.8000 ± 0.0144
ORG,1661,0.8326 ± 0.0081,0.8890 ± 0.0103,0.8599 ± 0.0073
PER,1617,0.9634 ± 0.0048,0.9526 ± 0.0050,0.9579 ± 0.0002
micro avg,5648,0.8883 ± 0.0042,0.9069 ± 0.0014,0.8975 ± 0.0028
macro avg,5648,0.8754 ± 0.0056,0.8941 ± 0.0034,0.8844 ± 0.0045
weighted avg,5648,0.8903 ± 0.0044,0.9069 ± 0.0014,0.8982 ± 0.0028
