,support,precision,recall,f1-score
LOC,1668,0.9056 ± 0.0052,0.9145 ± 0.0011,0.9100 ± 0.0021
MISC,702,0.7518 ± 0.0048,0.8096 ± 0.0060,0.7796 ± 0.0045
ORG,1661,0.8201 ± 0.0058,0.8732 ± 0.0033,0.8458 ± 0.0030
PER,1617,0.9589 ± 0.0041,0.9468 ± 0.0064,0.9528 ± 0.0035
micro avg,5648,0.8741 ± 0.0022,0.8985 ± 0.0027,0.8862 ± 0.0023
macro avg,5648,0.8591 ± 0.0023,0.8860 ± 0.0025,0.8720 ± 0.0024
weighted avg,5648,0.8766 ± 0.0019,0.8985 ± 0.0027,0.8872 ± 0.0022
