,support,precision,recall,f1-score
LOC,1668,0.9188 ± 0.0054,0.9155 ± 0.0017,0.9171 ± 0.0024
MISC,702,0.7719 ± 0.0047,0.8015 ± 0.0018,0.7864 ± 0.0018
ORG,1661,0.8456 ± 0.0074,0.8716 ± 0.0074,0.8584 ± 0.0060
PER,1617,0.9588 ± 0.0027,0.9452 ± 0.0006,0.9519 ± 0.0016
micro avg,5648,0.8892 ± 0.0034,0.8969 ± 0.0021,0.8930 ± 0.0026
macro avg,5648,0.8738 ± 0.0026,0.8834 ± 0.0017,0.8785 ± 0.0021
weighted avg,5648,0.8905 ± 0.0036,0.8969 ± 0.0021,0.8936 ± 0.0026
