,support,precision,recall,f1-score
LOC,1668,0.9144 ± 0.0044,0.9131 ± 0.0018,0.9137 ± 0.0017
MISC,702,0.7670 ± 0.0030,0.8205 ± 0.0020,0.7928 ± 0.0010
ORG,1661,0.8432 ± 0.0080,0.8876 ± 0.0059,0.8648 ± 0.0039
PER,1617,0.9612 ± 0.0052,0.9538 ± 0.0023,0.9575 ± 0.0014
micro avg,5648,0.8866 ± 0.0030,0.9057 ± 0.0004,0.8961 ± 0.0015
macro avg,5648,0.8714 ± 0.0024,0.8938 ± 0.0001,0.8822 ± 0.0012
weighted avg,5648,0.8885 ± 0.0030,0.9057 ± 0.0004,0.8968 ± 0.0015
