,support,precision,recall,f1-score
LOC,1668,0.9287 ± 0.0028,0.9323 ± 0.0027,0.9305 ± 0.0025
MISC,702,0.7733 ± 0.0026,0.8229 ± 0.0041,0.7973 ± 0.0021
ORG,1661,0.8834 ± 0.0027,0.9121 ± 0.0047,0.8975 ± 0.0037
PER,1617,0.9630 ± 0.0022,0.9615 ± 0.0032,0.9622 ± 0.0019
micro avg,5648,0.9046 ± 0.0022,0.9211 ± 0.0029,0.9128 ± 0.0025
macro avg,5648,0.8871 ± 0.0021,0.9072 ± 0.0029,0.8969 ± 0.0025
weighted avg,5648,0.9059 ± 0.0022,0.9211 ± 0.0029,0.9133 ± 0.0025
