,support,precision,recall,f1-score
LOC,1668,0.9089 ± 0.0040,0.9127 ± 0.0035,0.9108 ± 0.0028
MISC,702,0.7266 ± 0.0058,0.7996 ± 0.0108,0.7613 ± 0.0039
ORG,1661,0.8150 ± 0.0060,0.8673 ± 0.0056,0.8404 ± 0.0058
PER,1617,0.9539 ± 0.0011,0.9474 ± 0.0040,0.9507 ± 0.0025
micro avg,5648,0.8686 ± 0.0031,0.8952 ± 0.0028,0.8817 ± 0.0027
macro avg,5648,0.8511 ± 0.0031,0.8818 ± 0.0039,0.8658 ± 0.0029
weighted avg,5648,0.8715 ± 0.0032,0.8952 ± 0.0028,0.8829 ± 0.0028
