,support,precision,recall,f1-score
LOC,1668,0.9028 ± 0.0140,0.9187 ± 0.0104,0.9105 ± 0.0024
MISC,702,0.7571 ± 0.0114,0.8153 ± 0.0139,0.7849 ± 0.0020
ORG,1661,0.8375 ± 0.0140,0.8744 ± 0.0134,0.8553 ± 0.0010
PER,1617,0.9637 ± 0.0035,0.9464 ± 0.0013,0.9550 ± 0.0012
micro avg,5648,0.8806 ± 0.0012,0.9007 ± 0.0017,0.8905 ± 0.0002
macro avg,5648,0.8653 ± 0.0014,0.8887 ± 0.0030,0.8764 ± 0.0007
weighted avg,5648,0.8829 ± 0.0008,0.9007 ± 0.0017,0.8914 ± 0.0005
