,support,precision,recall,f1-score
LOC,1668,0.9099 ± 0.0026,0.9157 ± 0.0007,0.9128 ± 0.0016
MISC,702,0.7635 ± 0.0073,0.8167 ± 0.0059,0.7892 ± 0.0018
ORG,1661,0.8375 ± 0.0085,0.8816 ± 0.0070,0.8589 ± 0.0040
PER,1617,0.9628 ± 0.0073,0.9478 ± 0.0049,0.9552 ± 0.0059
micro avg,5648,0.8834 ± 0.0029,0.9026 ± 0.0026,0.8929 ± 0.0027
macro avg,5648,0.8684 ± 0.0029,0.8905 ± 0.0023,0.8790 ± 0.0026
weighted avg,5648,0.8855 ± 0.0030,0.9026 ± 0.0026,0.8937 ± 0.0027
