,support,precision,recall,f1-score
LOC,1668,0.9189 ± 0.0017,0.9213 ± 0.0061,0.9201 ± 0.0025
MISC,702,0.7931 ± 0.0079,0.8096 ± 0.0027,0.8012 ± 0.0035
ORG,1661,0.8577 ± 0.0032,0.8806 ± 0.0029,0.8690 ± 0.0029
PER,1617,0.9592 ± 0.0040,0.9497 ± 0.0028,0.9544 ± 0.0013
micro avg,5648,0.8961 ± 0.0020,0.9036 ± 0.0015,0.8998 ± 0.0017
macro avg,5648,0.8822 ± 0.0027,0.8903 ± 0.0009,0.8862 ± 0.0018
weighted avg,5648,0.8968 ± 0.0019,0.9036 ± 0.0015,0.9001 ± 0.0017
