,support,precision,recall,f1-score
LOC,1668,0.9274 ± 0.0058,0.9293 ± 0.0013,0.9283 ± 0.0023
MISC,702,0.7787 ± 0.0040,0.8186 ± 0.0071,0.7981 ± 0.0050
ORG,1661,0.8688 ± 0.0071,0.9219 ± 0.0036,0.8946 ± 0.0050
PER,1617,0.9778 ± 0.0032,0.9798 ± 0.0031,0.9788 ± 0.0001
micro avg,5648,0.9047 ± 0.0027,0.9278 ± 0.0021,0.9161 ± 0.0023
macro avg,5648,0.8882 ± 0.0020,0.9124 ± 0.0028,0.9000 ± 0.0023
weighted avg,5648,0.9061 ± 0.0026,0.9278 ± 0.0021,0.9167 ± 0.0023
