,support,precision,recall,f1-score
LOC,1668,0.9240 ± 0.0066,0.9205 ± 0.0023,0.9222 ± 0.0034
MISC,702,0.7841 ± 0.0039,0.8153 ± 0.0076,0.7993 ± 0.0019
ORG,1661,0.8445 ± 0.0098,0.8997 ± 0.0037,0.8712 ± 0.0066
PER,1617,0.9654 ± 0.0029,0.9489 ± 0.0026,0.9571 ± 0.0005
micro avg,5648,0.8932 ± 0.0046,0.9094 ± 0.0015,0.9012 ± 0.0031
macro avg,5648,0.8795 ± 0.0035,0.8961 ± 0.0021,0.8875 ± 0.0027
weighted avg,5648,0.8951 ± 0.0046,0.9094 ± 0.0015,0.9019 ± 0.0031
