,support,precision,recall,f1-score
LOC,1668,0.9155 ± 0.0040,0.9201 ± 0.0057,0.9178 ± 0.0020
MISC,702,0.7729 ± 0.0069,0.8224 ± 0.0027,0.7969 ± 0.0049
ORG,1661,0.8423 ± 0.0088,0.8930 ± 0.0040,0.8669 ± 0.0039
PER,1617,0.9597 ± 0.0053,0.9551 ± 0.0046,0.9573 ± 0.0016
micro avg,5648,0.8871 ± 0.0023,0.9100 ± 0.0022,0.8984 ± 0.0021
macro avg,5648,0.8726 ± 0.0023,0.8976 ± 0.0023,0.8847 ± 0.0022
weighted avg,5648,0.8889 ± 0.0019,0.9100 ± 0.0022,0.8991 ± 0.0019
