,support,precision,recall,f1-score
LOC,1668,0.9374 ± 0.0048,0.9273 ± 0.0042,0.9323 ± 0.0017
MISC,702,0.7819 ± 0.0138,0.8248 ± 0.0111,0.8027 ± 0.0101
ORG,1661,0.8836 ± 0.0063,0.9135 ± 0.0010,0.8983 ± 0.0035
PER,1617,0.9588 ± 0.0049,0.9540 ± 0.0056,0.9564 ± 0.0035
micro avg,5648,0.9071 ± 0.0041,0.9181 ± 0.0020,0.9126 ± 0.0028
macro avg,5648,0.8904 ± 0.0052,0.9049 ± 0.0032,0.8974 ± 0.0037
weighted avg,5648,0.9084 ± 0.0037,0.9181 ± 0.0020,0.9131 ± 0.0027
