,support,precision,recall,f1-score
LOC,1668,0.9272 ± 0.0039,0.9341 ± 0.0010,0.9306 ± 0.0024
MISC,702,0.7792 ± 0.0063,0.8272 ± 0.0048,0.8024 ± 0.0011
ORG,1661,0.8817 ± 0.0056,0.9139 ± 0.0018,0.8975 ± 0.0030
PER,1617,0.9650 ± 0.0014,0.9561 ± 0.0023,0.9605 ± 0.0018
micro avg,5648,0.9049 ± 0.0004,0.9212 ± 0.0005,0.9130 ± 0.0003
macro avg,5648,0.8883 ± 0.0009,0.9078 ± 0.0011,0.8978 ± 0.0002
weighted avg,5648,0.9063 ± 0.0004,0.9212 ± 0.0005,0.9135 ± 0.0004
