,support,precision,recall,f1-score
LOC,1668,0.9125 ± 0.0007,0.9209 ± 0.0024,0.9166 ± 0.0009
MISC,702,0.7892 ± 0.0070,0.8191 ± 0.0053,0.8038 ± 0.0021
ORG,1661,0.8537 ± 0.0097,0.8808 ± 0.0010,0.8670 ± 0.0049
PER,1617,0.9564 ± 0.0060,0.9528 ± 0.0031,0.9546 ± 0.0014
micro avg,5648,0.8915 ± 0.0029,0.9056 ± 0.0013,0.8985 ± 0.0013
macro avg,5648,0.8779 ± 0.0031,0.8934 ± 0.0019,0.8855 ± 0.0013
weighted avg,5648,0.8924 ± 0.0026,0.9056 ± 0.0013,0.8989 ± 0.0012
