,support,precision,recall,f1-score
LOC,1668,0.9229 ± 0.0102,0.9171 ± 0.0028,0.9199 ± 0.0063
MISC,702,0.7595 ± 0.0092,0.8086 ± 0.0111,0.7832 ± 0.0031
ORG,1661,0.8455 ± 0.0056,0.9081 ± 0.0047,0.8757 ± 0.0045
PER,1617,0.9726 ± 0.0061,0.9804 ± 0.0026,0.9765 ± 0.0031
micro avg,5648,0.8920 ± 0.0030,0.9191 ± 0.0025,0.9054 ± 0.0027
macro avg,5648,0.8751 ± 0.0028,0.9036 ± 0.0036,0.8888 ± 0.0028
weighted avg,5648,0.8941 ± 0.0034,0.9191 ± 0.0025,0.9061 ± 0.0029
