,support,precision,recall,f1-score
LOC,1668,0.9168 ± 0.0056,0.9141 ± 0.0020,0.9154 ± 0.0037
MISC,702,0.7755 ± 0.0012,0.8200 ± 0.0036,0.7971 ± 0.0014
ORG,1661,0.8458 ± 0.0064,0.8816 ± 0.0061,0.8633 ± 0.0044
PER,1617,0.9580 ± 0.0034,0.9546 ± 0.0024,0.9563 ± 0.0005
micro avg,5648,0.8887 ± 0.0033,0.9044 ± 0.0019,0.8965 ± 0.0023
macro avg,5648,0.8740 ± 0.0026,0.8926 ± 0.0021,0.8831 ± 0.0022
weighted avg,5648,0.8902 ± 0.0033,0.9044 ± 0.0019,0.8971 ± 0.0024
