,support,precision,recall,f1-score
LOC,1668,0.9139 ± 0.0053,0.9157 ± 0.0050,0.9148 ± 0.0017
MISC,702,0.7520 ± 0.0094,0.8115 ± 0.0052,0.7806 ± 0.0061
ORG,1661,0.8274 ± 0.0040,0.8822 ± 0.0032,0.8539 ± 0.0012
PER,1617,0.9583 ± 0.0022,0.9563 ± 0.0036,0.9573 ± 0.0010
micro avg,5648,0.8787 ± 0.0013,0.9045 ± 0.0009,0.8914 ± 0.0009
macro avg,5648,0.8629 ± 0.0016,0.8914 ± 0.0014,0.8766 ± 0.0015
weighted avg,5648,0.8811 ± 0.0016,0.9045 ± 0.0009,0.8924 ± 0.0009
