,support,precision,recall,f1-score
LOC,1668,0.9259 ± 0.0061,0.9211 ± 0.0010,0.9235 ± 0.0031
MISC,702,0.7704 ± 0.0088,0.8153 ± 0.0036,0.7922 ± 0.0041
ORG,1661,0.8523 ± 0.0065,0.9181 ± 0.0043,0.8840 ± 0.0054
PER,1617,0.9772 ± 0.0039,0.9804 ± 0.0011,0.9788 ± 0.0014
micro avg,5648,0.8977 ± 0.0021,0.9240 ± 0.0018,0.9107 ± 0.0019
macro avg,5648,0.8815 ± 0.0014,0.9087 ± 0.0019,0.8946 ± 0.0014
weighted avg,5648,0.8996 ± 0.0024,0.9240 ± 0.0018,0.9114 ± 0.0020
