,support,precision,recall,f1-score
LOC,1668,0.9147 ± 0.0045,0.9105 ± 0.0040,0.9126 ± 0.0042
MISC,702,0.7682 ± 0.0013,0.8153 ± 0.0034,0.7911 ± 0.0015
ORG,1661,0.8329 ± 0.0064,0.8818 ± 0.0067,0.8566 ± 0.0016
PER,1617,0.9522 ± 0.0065,0.9516 ± 0.0107,0.9518 ± 0.0038
micro avg,5648,0.8814 ± 0.0024,0.9020 ± 0.0022,0.8916 ± 0.0023
macro avg,5648,0.8670 ± 0.0017,0.8898 ± 0.0017,0.8780 ± 0.0018
weighted avg,5648,0.8832 ± 0.0018,0.9020 ± 0.0022,0.8923 ± 0.0021
