,support,precision,recall,f1-score
LOC,1668,0.9101 ± 0.0038,0.8915 ± 0.0065,0.9007 ± 0.0032
MISC,702,0.7314 ± 0.0118,0.7754 ± 0.0102,0.7527 ± 0.0098
ORG,1661,0.8311 ± 0.0118,0.8686 ± 0.0093,0.8494 ± 0.0091
PER,1617,0.9622 ± 0.0112,0.9615 ± 0.0041,0.9618 ± 0.0050
micro avg,5648,0.8775 ± 0.0019,0.8903 ± 0.0053,0.8839 ± 0.0036
macro avg,5648,0.8587 ± 0.0021,0.8742 ± 0.0059,0.8661 ± 0.0039
weighted avg,5648,0.8796 ± 0.0015,0.8903 ± 0.0053,0.8847 ± 0.0034
