,support,precision,recall,f1-score
LOC,1668,0.9145 ± 0.0039,0.9169 ± 0.0092,0.9157 ± 0.0027
MISC,702,0.7707 ± 0.0129,0.8181 ± 0.0066,0.7937 ± 0.0092
ORG,1661,0.8350 ± 0.0070,0.8862 ± 0.0000,0.8598 ± 0.0037
PER,1617,0.9625 ± 0.0027,0.9470 ± 0.0006,0.9547 ± 0.0016
micro avg,5648,0.8849 ± 0.0040,0.9042 ± 0.0020,0.8944 ± 0.0011
macro avg,5648,0.8707 ± 0.0049,0.8921 ± 0.0008,0.8810 ± 0.0021
weighted avg,5648,0.8870 ± 0.0037,0.9042 ± 0.0020,0.8953 ± 0.0010
