,support,precision,recall,f1-score
LOC,1668,0.9091 ± 0.0040,0.9137 ± 0.0044,0.9114 ± 0.0037
MISC,702,0.7469 ± 0.0079,0.8039 ± 0.0018,0.7743 ± 0.0041
ORG,1661,0.8196 ± 0.0055,0.8822 ± 0.0057,0.8497 ± 0.0033
PER,1617,0.9622 ± 0.0039,0.9448 ± 0.0064,0.9534 ± 0.0025
micro avg,5648,0.8749 ± 0.0036,0.8997 ± 0.0031,0.8871 ± 0.0034
macro avg,5648,0.8595 ± 0.0039,0.8861 ± 0.0026,0.8722 ± 0.0034
weighted avg,5648,0.8778 ± 0.0033,0.8997 ± 0.0031,0.8882 ± 0.0033
