,support,precision,recall,f1-score
LOC,1668,0.9162 ± 0.0066,0.9127 ± 0.0045,0.9144 ± 0.0026
MISC,702,0.7555 ± 0.0109,0.8077 ± 0.0058,0.7807 ± 0.0050
ORG,1661,0.8445 ± 0.0108,0.8760 ± 0.0092,0.8599 ± 0.0024
PER,1617,0.9489 ± 0.0096,0.9577 ± 0.0059,0.9532 ± 0.0048
micro avg,5648,0.8830 ± 0.0028,0.9017 ± 0.0030,0.8923 ± 0.0029
macro avg,5648,0.8663 ± 0.0039,0.8885 ± 0.0023,0.8770 ± 0.0032
weighted avg,5648,0.8845 ± 0.0027,0.9017 ± 0.0030,0.8929 ± 0.0029
