,support,precision,recall,f1-score
LOC,1666,0.9255 ± 0.0107,0.9314 ± 0.0080,0.9283 ± 0.0015
MISC,702,0.7823 ± 0.0104,0.8267 ± 0.0059,0.8038 ± 0.0041
ORG,1661,0.8874 ± 0.0070,0.8991 ± 0.0038,0.8932 ± 0.0032
PER,1615,0.9620 ± 0.0030,0.9606 ± 0.0016,0.9613 ± 0.0022
micro avg,5644,0.9059 ± 0.0019,0.9172 ± 0.0036,0.9115 ± 0.0009
macro avg,5644,0.8893 ± 0.0028,0.9044 ± 0.0039,0.8966 ± 0.0010
weighted avg,5644,0.9069 ± 0.0016,0.9172 ± 0.0036,0.9119 ± 0.0010
