,support,precision,recall,f1-score
LOC,1668,0.9026 ± 0.0126,0.9239 ± 0.0022,0.9130 ± 0.0054
MISC,702,0.7900 ± 0.0018,0.8200 ± 0.0060,0.8047 ± 0.0034
ORG,1661,0.8839 ± 0.0074,0.8637 ± 0.0104,0.8736 ± 0.0025
PER,1617,0.9594 ± 0.0038,0.9491 ± 0.0020,0.9542 ± 0.0008
micro avg,5648,0.8987 ± 0.0033,0.9005 ± 0.0022,0.8996 ± 0.0021
macro avg,5648,0.8840 ± 0.0026,0.8892 ± 0.0020,0.8864 ± 0.0016
weighted avg,5648,0.8994 ± 0.0032,0.9005 ± 0.0022,0.8998 ± 0.0021
