,support,precision,recall,f1-score
LOC,1668,0.9313 ± 0.0016,0.9269 ± 0.0068,0.9291 ± 0.0041
MISC,702,0.7769 ± 0.0060,0.8248 ± 0.0031,0.8001 ± 0.0029
ORG,1661,0.8679 ± 0.0013,0.9163 ± 0.0051,0.8914 ± 0.0018
PER,1617,0.9727 ± 0.0042,0.9823 ± 0.0013,0.9774 ± 0.0025
micro avg,5648,0.9039 ± 0.0015,0.9269 ± 0.0022,0.9153 ± 0.0018
macro avg,5648,0.8872 ± 0.0018,0.9126 ± 0.0022,0.8995 ± 0.0019
weighted avg,5648,0.9053 ± 0.0016,0.9269 ± 0.0022,0.9158 ± 0.0019
