,support,precision,recall,f1-score
LOC,1668,0.9152 ± 0.0074,0.9149 ± 0.0051,0.9150 ± 0.0013
MISC,702,0.7740 ± 0.0038,0.8148 ± 0.0023,0.7939 ± 0.0021
ORG,1661,0.8367 ± 0.0088,0.8916 ± 0.0023,0.8632 ± 0.0048
PER,1617,0.9603 ± 0.0069,0.9551 ± 0.0041,0.9576 ± 0.0014
micro avg,5648,0.8856 ± 0.0022,0.9071 ± 0.0006,0.8962 ± 0.0013
macro avg,5648,0.8715 ± 0.0010,0.8941 ± 0.0008,0.8824 ± 0.0008
weighted avg,5648,0.8875 ± 0.0019,0.9071 ± 0.0006,0.8969 ± 0.0012
