,support,precision,recall,f1-score
LOC,1668,0.9098 ± 0.0115,0.9191 ± 0.0064,0.9143 ± 0.0033
MISC,702,0.7948 ± 0.0116,0.8101 ± 0.0037,0.8023 ± 0.0058
ORG,1661,0.8490 ± 0.0053,0.8886 ± 0.0088,0.8683 ± 0.0053
PER,1617,0.9629 ± 0.0079,0.9497 ± 0.0042,0.9562 ± 0.0033
micro avg,5648,0.8916 ± 0.0027,0.9053 ± 0.0042,0.8984 ± 0.0034
macro avg,5648,0.8791 ± 0.0038,0.8919 ± 0.0038,0.8853 ± 0.0037
weighted avg,5648,0.8928 ± 0.0025,0.9053 ± 0.0042,0.8989 ± 0.0034
