,support,precision,recall,f1-score
LOC,1668,0.9081 ± 0.0055,0.9057 ± 0.0076,0.9068 ± 0.0011
MISC,702,0.7495 ± 0.0103,0.8229 ± 0.0095,0.7844 ± 0.0025
ORG,1661,0.8416 ± 0.0043,0.8934 ± 0.0030,0.8667 ± 0.0037
PER,1617,0.9269 ± 0.0187,0.9462 ± 0.0000,0.9364 ± 0.0096
micro avg,5648,0.8723 ± 0.0054,0.9034 ± 0.0014,0.8876 ± 0.0034
macro avg,5648,0.8565 ± 0.0047,0.8920 ± 0.0020,0.8736 ± 0.0033
weighted avg,5648,0.8742 ± 0.0060,0.9034 ± 0.0014,0.8883 ± 0.0036
