,support,precision,recall,f1-score
LOC,1668,0.9214 ± 0.0051,0.9173 ± 0.0062,0.9193 ± 0.0024
MISC,702,0.7677 ± 0.0061,0.8253 ± 0.0018,0.7954 ± 0.0038
ORG,1661,0.8385 ± 0.0029,0.8842 ± 0.0019,0.8607 ± 0.0016
PER,1617,0.9633 ± 0.0033,0.9532 ± 0.0018,0.9582 ± 0.0012
micro avg,5648,0.8877 ± 0.0017,0.9064 ± 0.0018,0.8969 ± 0.0014
macro avg,5648,0.8727 ± 0.0021,0.8950 ± 0.0016,0.8834 ± 0.0018
weighted avg,5648,0.8899 ± 0.0017,0.9064 ± 0.0018,0.8978 ± 0.0014
