,support,precision,recall,f1-score
LOC,1668,0.9124 ± 0.0014,0.9139 ± 0.0042,0.9131 ± 0.0016
MISC,702,0.7617 ± 0.0135,0.8129 ± 0.0155,0.7862 ± 0.0003
ORG,1661,0.8274 ± 0.0024,0.8852 ± 0.0022,0.8553 ± 0.0010
PER,1617,0.9602 ± 0.0042,0.9489 ± 0.0036,0.9545 ± 0.0008
micro avg,5648,0.8800 ± 0.0004,0.9029 ± 0.0014,0.8913 ± 0.0009
macro avg,5648,0.8654 ± 0.0015,0.8902 ± 0.0020,0.8773 ± 0.0006
weighted avg,5648,0.8824 ± 0.0005,0.9029 ± 0.0014,0.8922 ± 0.0007
