,support,precision,recall,f1-score
LOC,1668,0.9302 ± 0.0037,0.9315 ± 0.0028,0.9308 ± 0.0005
MISC,702,0.7883 ± 0.0085,0.8234 ± 0.0053,0.8054 ± 0.0047
ORG,1661,0.8767 ± 0.0083,0.9165 ± 0.0016,0.8961 ± 0.0043
PER,1617,0.9645 ± 0.0034,0.9569 ± 0.0016,0.9607 ± 0.0016
micro avg,5648,0.9054 ± 0.0023,0.9209 ± 0.0010,0.9131 ± 0.0014
macro avg,5648,0.8899 ± 0.0023,0.9071 ± 0.0010,0.8983 ± 0.0013
weighted avg,5648,0.9066 ± 0.0020,0.9209 ± 0.0010,0.9136 ± 0.0013
