,support,precision,recall,f1-score
LOC,1668,0.9152 ± 0.0061,0.9201 ± 0.0050,0.9176 ± 0.0042
MISC,702,0.7726 ± 0.0053,0.8096 ± 0.0108,0.7906 ± 0.0065
ORG,1661,0.8380 ± 0.0152,0.8938 ± 0.0067,0.8650 ± 0.0112
PER,1617,0.9653 ± 0.0032,0.9499 ± 0.0066,0.9575 ± 0.0026
micro avg,5648,0.8871 ± 0.0072,0.9072 ± 0.0037,0.8970 ± 0.0053
macro avg,5648,0.8727 ± 0.0064,0.8934 ± 0.0039,0.8827 ± 0.0049
weighted avg,5648,0.8891 ± 0.0067,0.9072 ± 0.0037,0.8978 ± 0.0052
