,support,precision,recall,f1-score
LOC,1668,0.9309 ± 0.0017,0.9313 ± 0.0012,0.9311 ± 0.0004
MISC,702,0.7729 ± 0.0101,0.8314 ± 0.0048,0.8010 ± 0.0056
ORG,1661,0.8776 ± 0.0042,0.9131 ± 0.0045,0.8950 ± 0.0027
PER,1617,0.9656 ± 0.0039,0.9594 ± 0.0028,0.9625 ± 0.0005
micro avg,5648,0.9038 ± 0.0016,0.9216 ± 0.0019,0.9126 ± 0.0008
macro avg,5648,0.8867 ± 0.0027,0.9088 ± 0.0023,0.8974 ± 0.0014
weighted avg,5648,0.9055 ± 0.0015,0.9216 ± 0.0019,0.9133 ± 0.0009
