,support,precision,recall,f1-score
LOC,1668,0.9232 ± 0.0062,0.9171 ± 0.0054,0.9201 ± 0.0006
MISC,702,0.7650 ± 0.0159,0.8158 ± 0.0052,0.7894 ± 0.0071
ORG,1661,0.8402 ± 0.0079,0.8876 ± 0.0080,0.8632 ± 0.0050
PER,1617,0.9534 ± 0.0060,0.9522 ± 0.0011,0.9528 ± 0.0025
micro avg,5648,0.8858 ± 0.0047,0.9059 ± 0.0005,0.8957 ± 0.0023
macro avg,5648,0.8704 ± 0.0054,0.8932 ± 0.0009,0.8814 ± 0.0024
weighted avg,5648,0.8878 ± 0.0043,0.9059 ± 0.0005,0.8965 ± 0.0022
