,support,precision,recall,f1-score
LOC,1668,0.9278 ± 0.0007,0.9199 ± 0.0031,0.9238 ± 0.0018
MISC,702,0.7816 ± 0.0024,0.8191 ± 0.0031,0.7999 ± 0.0026
ORG,1661,0.8602 ± 0.0039,0.9225 ± 0.0015,0.8903 ± 0.0028
PER,1617,0.9783 ± 0.0033,0.9827 ± 0.0005,0.9805 ± 0.0014
micro avg,5648,0.9026 ± 0.0010,0.9261 ± 0.0016,0.9142 ± 0.0012
macro avg,5648,0.8870 ± 0.0006,0.9110 ± 0.0016,0.8986 ± 0.0011
weighted avg,5648,0.9042 ± 0.0009,0.9261 ± 0.0016,0.9148 ± 0.0012
