,support,precision,recall,f1-score
LOC,1668,0.9131 ± 0.0050,0.9191 ± 0.0029,0.9160 ± 0.0037
MISC,702,0.7435 ± 0.0173,0.8191 ± 0.0099,0.7792 ± 0.0051
ORG,1661,0.8432 ± 0.0110,0.8786 ± 0.0139,0.8604 ± 0.0099
PER,1617,0.9625 ± 0.0034,0.9516 ± 0.0056,0.9570 ± 0.0045
micro avg,5648,0.8830 ± 0.0057,0.9040 ± 0.0051,0.8934 ± 0.0054
macro avg,5648,0.8655 ± 0.0059,0.8921 ± 0.0041,0.8782 ± 0.0048
weighted avg,5648,0.8856 ± 0.0055,0.9040 ± 0.0051,0.8944 ± 0.0053
