,support,precision,recall,f1-score
LOC,1668,0.9132 ± 0.0031,0.9147 ± 0.0051,0.9139 ± 0.0036
MISC,702,0.7773 ± 0.0080,0.8177 ± 0.0121,0.7968 ± 0.0015
ORG,1661,0.8586 ± 0.0102,0.8884 ± 0.0050,0.8732 ± 0.0028
PER,1617,0.9579 ± 0.0065,0.9551 ± 0.0096,0.9564 ± 0.0033
micro avg,5648,0.8918 ± 0.0019,0.9065 ± 0.0018,0.8991 ± 0.0018
macro avg,5648,0.8768 ± 0.0020,0.8940 ± 0.0031,0.8851 ± 0.0016
weighted avg,5648,0.8931 ± 0.0019,0.9065 ± 0.0018,0.8996 ± 0.0018
