,support,precision,recall,f1-score
LOC,1668,0.9297 ± 0.0068,0.9327 ± 0.0019,0.9312 ± 0.0025
MISC,702,0.7803 ± 0.0079,0.8191 ± 0.0051,0.7992 ± 0.0040
ORG,1661,0.8821 ± 0.0060,0.9137 ± 0.0075,0.8976 ± 0.0026
PER,1617,0.9640 ± 0.0030,0.9606 ± 0.0028,0.9623 ± 0.0005
micro avg,5648,0.9058 ± 0.0010,0.9210 ± 0.0005,0.9133 ± 0.0007
macro avg,5648,0.8890 ± 0.0016,0.9065 ± 0.0003,0.8976 ± 0.0007
weighted avg,5648,0.9070 ± 0.0011,0.9210 ± 0.0005,0.9138 ± 0.0007
