,support,precision,recall,f1-score
LOC,1668,0.9289 ± 0.0019,0.9317 ± 0.0022,0.9303 ± 0.0013
MISC,702,0.7849 ± 0.0064,0.8276 ± 0.0060,0.8056 ± 0.0014
ORG,1661,0.8815 ± 0.0060,0.9129 ± 0.0058,0.8969 ± 0.0020
PER,1617,0.9625 ± 0.0024,0.9575 ± 0.0011,0.9600 ± 0.0012
micro avg,5648,0.9055 ± 0.0008,0.9206 ± 0.0013,0.9130 ± 0.0009
macro avg,5648,0.8894 ± 0.0008,0.9074 ± 0.0005,0.8982 ± 0.0006
weighted avg,5648,0.9067 ± 0.0009,0.9206 ± 0.0013,0.9135 ± 0.0009
