,support,precision,recall,f1-score
LOC,1668,0.9056 ± 0.0138,0.9099 ± 0.0003,0.9077 ± 0.0068
MISC,702,0.7686 ± 0.0082,0.8148 ± 0.0031,0.7910 ± 0.0047
ORG,1661,0.8421 ± 0.0015,0.8991 ± 0.0074,0.8696 ± 0.0028
PER,1617,0.9308 ± 0.0129,0.9544 ± 0.0015,0.9424 ± 0.0072
micro avg,5648,0.8760 ± 0.0048,0.9076 ± 0.0016,0.8915 ± 0.0031
macro avg,5648,0.8618 ± 0.0036,0.8945 ± 0.0010,0.8777 ± 0.0022
weighted avg,5648,0.8771 ± 0.0055,0.9076 ± 0.0016,0.8919 ± 0.0033
