,support,precision,recall,f1-score
LOC,1668,0.9323 ± 0.0038,0.9215 ± 0.0047,0.9268 ± 0.0039
MISC,702,0.7821 ± 0.0125,0.8134 ± 0.0035,0.7974 ± 0.0049
ORG,1661,0.8572 ± 0.0092,0.9221 ± 0.0046,0.8885 ± 0.0069
PER,1617,0.9841 ± 0.0008,0.9804 ± 0.0015,0.9822 ± 0.0011
micro avg,5648,0.9045 ± 0.0055,0.9251 ± 0.0028,0.9147 ± 0.0042
macro avg,5648,0.8889 ± 0.0058,0.9094 ± 0.0019,0.8987 ± 0.0040
weighted avg,5648,0.9063 ± 0.0050,0.9251 ± 0.0028,0.9153 ± 0.0040
