,support,precision,recall,f1-score
LOC,1668,0.9301 ± 0.0064,0.9003 ± 0.0033,0.9149 ± 0.0017
MISC,702,0.7633 ± 0.0086,0.7939 ± 0.0095,0.7782 ± 0.0007
ORG,1661,0.8488 ± 0.0071,0.9029 ± 0.0123,0.8750 ± 0.0095
PER,1617,0.9662 ± 0.0038,0.9705 ± 0.0011,0.9683 ± 0.0021
micro avg,5648,0.8940 ± 0.0041,0.9079 ± 0.0029,0.9009 ± 0.0035
macro avg,5648,0.8771 ± 0.0041,0.8919 ± 0.0016,0.8841 ± 0.0028
weighted avg,5648,0.8958 ± 0.0041,0.9079 ± 0.0029,0.9015 ± 0.0034
