,support,precision,recall,f1-score
LOC,1668,0.9158 ± 0.0035,0.9145 ± 0.0010,0.9151 ± 0.0020
MISC,702,0.7759 ± 0.0034,0.8153 ± 0.0036,0.7951 ± 0.0028
ORG,1661,0.8381 ± 0.0099,0.8810 ± 0.0083,0.8589 ± 0.0052
PER,1617,0.9582 ± 0.0074,0.9524 ± 0.0046,0.9552 ± 0.0014
micro avg,5648,0.8861 ± 0.0016,0.9032 ± 0.0019,0.8945 ± 0.0016
macro avg,5648,0.8720 ± 0.0007,0.8908 ± 0.0013,0.8811 ± 0.0010
weighted avg,5648,0.8877 ± 0.0014,0.9032 ± 0.0019,0.8952 ± 0.0016
