,support,precision,recall,f1-score
LOC,1668,0.9175 ± 0.0079,0.9143 ± 0.0044,0.9158 ± 0.0037
MISC,702,0.7751 ± 0.0146,0.8120 ± 0.0031,0.7930 ± 0.0064
ORG,1661,0.8378 ± 0.0013,0.8876 ± 0.0054,0.8620 ± 0.0032
PER,1617,0.9575 ± 0.0069,0.9514 ± 0.0064,0.9544 ± 0.0035
micro avg,5648,0.8861 ± 0.0033,0.9043 ± 0.0039,0.8951 ± 0.0033
macro avg,5648,0.8720 ± 0.0044,0.8913 ± 0.0034,0.8813 ± 0.0034
weighted avg,5648,0.8878 ± 0.0029,0.9043 ± 0.0039,0.8958 ± 0.0032
