,support,precision,recall,f1-score
LOC,1668,0.9237 ± 0.0047,0.9147 ± 0.0015,0.9192 ± 0.0016
MISC,702,0.7665 ± 0.0095,0.8115 ± 0.0047,0.7883 ± 0.0029
ORG,1661,0.8432 ± 0.0109,0.9109 ± 0.0031,0.8757 ± 0.0056
PER,1617,0.9773 ± 0.0030,0.9769 ± 0.0023,0.9771 ± 0.0004
micro avg,5648,0.8936 ± 0.0019,0.9186 ± 0.0011,0.9059 ± 0.0015
macro avg,5648,0.8777 ± 0.0019,0.9035 ± 0.0008,0.8901 ± 0.0014
weighted avg,5648,0.8959 ± 0.0012,0.9186 ± 0.0011,0.9067 ± 0.0012
