,support,precision,recall,f1-score
LOC,1668,0.9166 ± 0.0042,0.9107 ± 0.0084,0.9136 ± 0.0023
MISC,702,0.7679 ± 0.0031,0.8134 ± 0.0111,0.7899 ± 0.0037
ORG,1661,0.8273 ± 0.0034,0.8854 ± 0.0024,0.8554 ± 0.0007
PER,1617,0.9639 ± 0.0019,0.9462 ± 0.0031,0.9550 ± 0.0021
micro avg,5648,0.8829 ± 0.0014,0.9013 ± 0.0010,0.8920 ± 0.0012
macro avg,5648,0.8689 ± 0.0009,0.8889 ± 0.0017,0.8785 ± 0.0010
weighted avg,5648,0.8854 ± 0.0012,0.9013 ± 0.0010,0.8929 ± 0.0012
