,support,precision,recall,f1-score
LOC,1668,0.9217 ± 0.0036,0.9075 ± 0.0007,0.9145 ± 0.0021
MISC,702,0.7845 ± 0.0339,0.8101 ± 0.0218,0.7963 ± 0.0165
ORG,1661,0.8611 ± 0.0064,0.8782 ± 0.0159,0.8695 ± 0.0078
PER,1617,0.9573 ± 0.0131,0.9705 ± 0.0019,0.9638 ± 0.0063
micro avg,5648,0.8962 ± 0.0068,0.9048 ± 0.0044,0.9005 ± 0.0050
macro avg,5648,0.8812 ± 0.0101,0.8916 ± 0.0058,0.8860 ± 0.0065
weighted avg,5648,0.8970 ± 0.0061,0.9048 ± 0.0044,0.9007 ± 0.0049
