,support,precision,recall,f1-score
LOC,1668,0.9183 ± 0.0026,0.9187 ± 0.0022,0.9185 ± 0.0018
MISC,702,0.7716 ± 0.0174,0.8186 ± 0.0088,0.7942 ± 0.0051
ORG,1661,0.8352 ± 0.0100,0.8850 ± 0.0072,0.8593 ± 0.0060
PER,1617,0.9584 ± 0.0040,0.9526 ± 0.0082,0.9554 ± 0.0022
micro avg,5648,0.8851 ± 0.0025,0.9060 ± 0.0004,0.8954 ± 0.0014
macro avg,5648,0.8709 ± 0.0026,0.8937 ± 0.0013,0.8819 ± 0.0013
weighted avg,5648,0.8871 ± 0.0028,0.9060 ± 0.0004,0.8962 ± 0.0016
