,support,precision,recall,f1-score
LOC,1668,0.9305 ± 0.0039,0.9231 ± 0.0069,0.9268 ± 0.0016
MISC,702,0.7748 ± 0.0012,0.8267 ± 0.0029,0.7999 ± 0.0008
ORG,1661,0.8695 ± 0.0100,0.9203 ± 0.0027,0.8942 ± 0.0041
PER,1617,0.9791 ± 0.0035,0.9825 ± 0.0013,0.9808 ± 0.0022
micro avg,5648,0.9054 ± 0.0017,0.9273 ± 0.0017,0.9162 ± 0.0017
macro avg,5648,0.8885 ± 0.0011,0.9131 ± 0.0019,0.9004 ± 0.0015
weighted avg,5648,0.9071 ± 0.0014,0.9273 ± 0.0017,0.9169 ± 0.0016
