,support,precision,recall,f1-score
LOC,1668,0.9124 ± 0.0061,0.9135 ± 0.0057,0.9129 ± 0.0031
MISC,702,0.7549 ± 0.0064,0.8010 ± 0.0064,0.7772 ± 0.0032
ORG,1661,0.8258 ± 0.0058,0.8796 ± 0.0066,0.8518 ± 0.0054
PER,1617,0.9582 ± 0.0038,0.9536 ± 0.0035,0.9559 ± 0.0008
micro avg,5648,0.8784 ± 0.0028,0.9010 ± 0.0028,0.8896 ± 0.0026
macro avg,5648,0.8628 ± 0.0028,0.8869 ± 0.0033,0.8745 ± 0.0026
weighted avg,5648,0.8805 ± 0.0029,0.9010 ± 0.0028,0.8904 ± 0.0026
