,support,precision,recall,f1-score
LOC,1668,0.9088 ± 0.0045,0.9101 ± 0.0067,0.9094 ± 0.0041
MISC,702,0.7764 ± 0.0155,0.7953 ± 0.0132,0.7857 ± 0.0115
ORG,1661,0.8432 ± 0.0091,0.8778 ± 0.0021,0.8601 ± 0.0039
PER,1617,0.9656 ± 0.0030,0.9668 ± 0.0047,0.9662 ± 0.0020
micro avg,5648,0.8885 ± 0.0062,0.9026 ± 0.0038,0.8954 ± 0.0032
macro avg,5648,0.8735 ± 0.0070,0.8875 ± 0.0051,0.8804 ± 0.0042
weighted avg,5648,0.8893 ± 0.0058,0.9026 ± 0.0038,0.8958 ± 0.0031
