,support,precision,recall,f1-score
LOC,1668,0.9253 ± 0.0041,0.9257 ± 0.0027,0.9255 ± 0.0007
MISC,702,0.7774 ± 0.0134,0.8158 ± 0.0071,0.7960 ± 0.0043
ORG,1661,0.8554 ± 0.0089,0.9169 ± 0.0018,0.8851 ± 0.0044
PER,1617,0.9815 ± 0.0026,0.9732 ± 0.0109,0.9773 ± 0.0062
micro avg,5648,0.9005 ± 0.0025,0.9230 ± 0.0033,0.9116 ± 0.0028
macro avg,5648,0.8849 ± 0.0034,0.9079 ± 0.0022,0.8960 ± 0.0024
weighted avg,5648,0.9024 ± 0.0019,0.9230 ± 0.0033,0.9123 ± 0.0026
