,support,precision,recall,f1-score
LOC,1668,0.9237 ± 0.0074,0.9231 ± 0.0037,0.9233 ± 0.0022
MISC,702,0.7947 ± 0.0003,0.8200 ± 0.0118,0.8072 ± 0.0059
ORG,1661,0.8538 ± 0.0062,0.8832 ± 0.0029,0.8682 ± 0.0043
PER,1617,0.9640 ± 0.0010,0.9481 ± 0.0030,0.9559 ± 0.0016
micro avg,5648,0.8974 ± 0.0027,0.9057 ± 0.0014,0.9015 ± 0.0021
macro avg,5648,0.8840 ± 0.0025,0.8936 ± 0.0028,0.8887 ± 0.0026
weighted avg,5648,0.8986 ± 0.0029,0.9057 ± 0.0014,0.9020 ± 0.0022
